,Host,TikTok,,Level,Month,Discord,Agent,Ranks,Bonus,New,Tix,Days,Day Pace,Active,Days Left,Hours,Hrs Goal,Hours Left,💎,Status,💎 Last 30,Growth %,Grad Left,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,LH,LH Camps
2,7359135097779519493,bryton.39,GO,6,36,@bryton.39,CARRINGTON,0,"10,000",291,280K,24,109%,Y,1.00,159,80,-,"3,264,869",,"3,754,113",-29%,NR,"4,620,580","6,231,628",6,6,85,"6,813,850","788,600","167,000",2x,"167,000",FALSE,FALSE
1,7359134585688522757,singleonthemove,GO,4,45,@singleonthemove,CARRINGTON,0,"1,000",583,104K,24,109%,Y,1.00,98,80,-,"5,226,194",,"5,987,437",-10%,NR,"5,828,132","8,632,676",4,2,84,"3,005,100","748,000",100,2x,100,FALSE,FALSE
3,7359135105165656069,freekbass,GO,4,36,@freekbass,CARRINGTON,0,0,"3,474",214K,25,114%,Y,1.00,91,80,-,"2,927,760",,"3,073,599",-41%,NR,"4,925,433","13,450,978",6,6,81,"2,020,700","286,000","14,500",2x,"14,500",FALSE,FALSE
8,7527933905626988561,shanellenikolee,GO,6,8,@shanellenikole,CARRINGTON,0,"2,000",948,11K,27,123%,Y,1.00,123,80,-,"1,900,960",,"2,064,838",-18%,NR,"2,331,637","1,780,632",6,6,77,"132,000","120,000","2,000",2x,"2,000",FALSE,FALSE
7,7359138280010645509,ageofangel,GO,6,25,@theageofangel,CARRINGTON,0,0,398,17K,25,114%,Y,1.00,280,80,-,"1,957,973",,"2,135,343",24%,NR,"1,584,028","2,049,528",6,6,76,"353,750",0,250,2x,250,FALSE,FALSE
6,7359134572702957574,jayden_egg,GO,6,46,@smileegg.,CARRINGTON,0,"10,000",198,31K,26,118%,Y,1.00,112,80,-,"2,330,821",,"2,480,777",6%,NR,"2,191,553","2,690,867",4,6,75,"242,500","195,000",500,2x,500,FALSE,FALSE
12,7359135264167428102,coloreomusic,GO,6,34,@coloreo,CARRINGTON,0,"7,000",304,135K,28,127%,Y,1.00,138,80,-,"1,521,625",,"1,532,502",11%,NR,"1,376,333","956,875",6,5,75,"605,450","82,850","7,200",2x,"7,200",FALSE,FALSE
14,7513787055730638849,cwdetroit,GO,6,5,@cwdetroit.,CARRINGTON,0,0,464,6K,28,127%,Y,1.00,159,80,-,"1,366,037",,"1,409,523",31%,NR,"1,039,231","1,291,786",6,6,74,"112,000","104,000","5,000",2x,"5,000",FALSE,FALSE
11,7359135283092226053,oregonstargirl,GO,4,34,@oregonstargirl,CARRINGTON,0,0,147,68K,28,127%,Y,1.00,84,80,-,"1,531,102",,"1,607,273",-3%,NR,"1,579,057","1,641,351",6,6,73,"1,120,500","140,000",0,2x,0,FALSE,FALSE
4,7359134909191159814,skylerclarkk,GO,4,39,@skylerclark_,CARRINGTON,0,"6,000","8,640",42K,21,95%,Y,1.00,81,80,-,"2,530,421",,"2,653,701",-8%,NR,"2,765,414","2,203,511",3,4,71,"212,150","80,000","1,150",2x,"1,150",FALSE,FALSE
