,Host,TikTok,,Level,Month,Discord,Agent,Ranks,Bonus,New,Tix,Days,Day Pace,Active,Days Left,Hours,Hrs Goal,Hours Left,💎,Status,💎 Last 30,Growth %,Grad Left,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,LH,LH Camps
1,7359134585688522757,singleonthemove,GO,4,44,@singleonthemove,CARRINGTON,0,"1,000",285,103K,21,95%,Y,1.00,84,80,-,"5,828,132",,"5,129,034",-32%,NR,"8,632,676","7,553,741",2,6,81,"2,710,100","855,000",100,2x,100,FALSE,FALSE
2,7359135105165656069,freekbass,GO,6,35,@freekbass,MARCO,0,0,"2,587",214K,30,136%,Y,1.00,104,80,-,"4,925,433",,"4,834,086",-63%,NR,"13,450,978","5,678,359",6,3,94,"2,010,700","319,500","10,000",2x,"10,000",FALSE,FALSE
3,7359135097779519493,bryton.39,GO,6,35,@bryton.39,MARCO,0,"33,000",404,275K,27,123%,Y,1.00,312,80,-,"4,620,580",,"4,620,580",-26%,NR,"6,231,628","4,022,386",6,6,90,"6,602,850","762,200","152,000",2x,"152,000",FALSE,FALSE
4,7359134909191159814,skylerclarkk,GO,3,38,@skylerclark_,CARRINGTON,0,"12,000","7,134",36K,20,91%,Y,1.00,72,80,8,"2,765,414",,"2,765,414",26%,NR,"2,203,511","631,954",4,1,70,"191,150","74,000","-18,850",2x,0,FALSE,FALSE
5,7359135998355472389,brayden.pantel,GO,0,30,@brayden.pantel,CARRINGTON,0,0,550,17K,8,36%,Y,1.00,20,40,20,"2,512,304",,"2,512,304",-19%,NR,"3,106,420","4,197,581",-1,1,52,"65,000",0,"-10,000",1x,0,FALSE,FALSE
6,7527933905626988561,shanellenikolee,GO,6,7,@shanellenikole,CARRINGTON,0,"2,000","1,694",9K,29,132%,Y,1.00,184,80,-,"2,331,637",,"2,231,506",31%,NR,"1,780,632","948,798",6,5,77,"131,000","119,000","2,000",2x,"2,000",FALSE,FALSE
7,7359139118909095942,sparksboi97,GO,4,23,@sparksboi97_16265,CARRINGTON,0,0,"1,370",0,29,132%,Y,1.00,87,80,-,"2,317,678",,"2,276,470",270%,NR,"626,264","138,159",4,1,64,"8,500","8,500",0,1x,0,FALSE,FALSE
7,7359134572702957574,jayden_egg,GO,4,45,@smileegg.,CARRINGTON,0,"5,000",213,21K,21,95%,Y,1.00,115,80,-,"2,191,553",,"2,115,306",-19%,NR,"2,690,867","2,170,096",6,6,76,"182,500","142,000","32,500",2x,"32,500",FALSE,FALSE
9,7359134961959632902,thecyrilia,GO,6,37,@thecyrilia,CARRINGTON,0,"10,000","5,832",107K,23,105%,Y,1.00,107,80,-,"2,104,021",,"1,912,457",-17%,NR,"2,526,624","1,691,212",6,4,79,"894,850","9,000","93,350",2x,"93,350",FALSE,FALSE
10,7359138280010645509,ageofangel,GO,6,24,@theageofangel,CARRINGTON,0,0,329,17K,24,109%,Y,1.00,244,80,-,"1,584,028",,"1,584,028",-23%,NR,"2,049,528","1,522,453",6,6,77,"353,750",0,250,2x,250,FALSE,FALSE
11,7359135283092226053,oregonstargirl,GO,6,33,@oregonstargirl,CARRINGTON,0,0,252,68K,31,141%,Y,1.00,108,80,-,"1,579,057",,"1,498,446",-4%,NR,"1,641,351","1,917,925",6,6,76,"1,085,500","138,000",0,2x,0,FALSE,FALSE
