,Host,3/12,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,💎,💎 Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,💎 Last 30,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Days Month,Hours Month,Rewards Month,Link
1,7359135084659736581,samanthasingsit,GO,1,37,@samanthasingsit,Music,CARRINGTON,401,Y,1.00,10,117%,11,1,33,30,-3,"2,027,368","5,237,367",7,"3,000,000","972,632",-,7,,"3,287,141","1,653,571","1,270,834",6,3,84,"1,586,275","1,629,900","-43,625",2x,0,22,80,"60,000",https://www.tiktok.com/@samanthasingsit
2,7359135097779519493,bryton.39,GO,2,37,@bryton.39,Gaming,MARCO,223,Y,1.00,11,129%,15,4,61,40,-21,"1,787,949","4,618,868",7,"5,000,000","3,212,051",Down,8,,"4,050,975","3,264,869","4,620,580",6,6,91,"6,874,850","6,687,850","187,000",2x,"187,000",22,80,"61,000",https://www.tiktok.com/@bryton.39
3,7359135105165656069,freekbass,GO,2,37,@freekbass,Music,CARRINGTON,"1,758",Y,1.00,11,129%,15,4,43,40,-3,"1,764,761","4,558,966",7,"3,000,000","1,235,239",-,7,,"3,998,597","2,927,760","4,925,433",4,6,87,"2,035,700","2,006,200","29,500",2x,"29,500",22,80,"15,000",https://www.tiktok.com/@freekbass
4,7359134909191159814,skylerclarkk,GO,2,40,@skylerclark_,Music,CARRINGTON,"3,228",Y,1.00,11,129%,15,4,47,40,-7,"1,525,427","3,940,686",6,"3,000,000","1,474,573",Down,7,,"3,123,906","2,530,421","2,765,414",4,3,86,"217,150","231,000","6,150",2x,"6,150",22,80,"5,000",https://www.tiktok.com/@skylerclarkk
5,7527933905626988561,shanellenikolee,GO,2,9,@shanellenikole,,CARRINGTON,478,Y,1.00,12,141%,15,3,59,40,-19,"1,002,840","2,590,670",6,"3,000,000","1,997,160",Down,7,,"2,234,036","1,900,960","2,331,637",6,6,88,"177,000","175,000","2,000",2x,"2,000",22,80,"45,000",https://www.tiktok.com/@shanellenikolee
6,7359134572702957574,jayden_egg,GO,2,47,@smileegg.,Gaming,CARRINGTON,162,Y,1.00,11,129%,15,4,66,40,-26,"996,374","2,573,966",5,"3,000,000","2,003,626",Down,7,,"2,514,102","2,330,821","2,191,553",6,4,88,"310,000","272,000","38,000",2x,"38,000",22,80,"67,500",https://www.tiktok.com/@jayden_egg
9,7359134585688522757,singleonthemove,GO,1,46,@singleonthemove,,MARCO,95,Y,1.00,9,106%,11,2,34,30,-4,"868,857","2,244,547",5,"8,000,000","7,131,143",Down,9,,"4,832,577","5,226,194","5,828,132",4,4,91,"3,037,100","2,825,000",100,2x,100,22,80,"32,000",https://www.tiktok.com/@singleonthemove
8,7359135264167428102,coloreomusic,GO,2,35,@coloreo,"Music, Gaming",CARRINGTON,136,Y,1.00,12,141%,15,3,52,40,-12,"870,877","2,249,766",5,"1,600,000","729,123",Down,6,,"1,959,908","1,521,625","1,376,333",6,6,85,"607,450","600,250","7,200",2x,"7,200",22,80,"2,000",https://www.tiktok.com/@coloreomusic
7,7433607263870517264,alexaraeemusic,GO,1,17,@alexaraeemusic,Music,CARRINGTON,"2,027",Y,1.00,10,117%,11,1,30,30,0,"904,218","2,335,897",5,"3,000,000","2,095,782",Down,7,,"2,584,433","2,340,757","1,490,015",4,2,77,"493,000","486,200",-200,2x,0,22,80,"39,000",https://www.tiktok.com/@alexaraeemusic
10,7359134960558571525,smity194,GO,2,39,@smity194,,CARRINGTON,98,Y,1.00,12,141%,15,3,31,40,9,"833,776","2,153,921",5,"1,600,000","766,224",Down,6,,"1,800,803","1,171,166","1,137,993",2,2,70,"2,940,750","2,914,300","26,450",2x,"26,450",15,40,"35,000",https://www.tiktok.com/@smity194
