,Host,8/25,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,?,? Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,? Last 30,-1 Month ?,-2 Month ?,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Unis,Est Rev,Bonus,LM Bonus,Days Month,Hours Month,Rewards Month,Link
1,7359134585688522757,ashleyinfl,GO,4,51,@singleonthemove,,MARCO,350,Y,1.00,23,130%,22,-1,85,90,5,"4,911,589","6,090,370",8,"5,000,000","88,411",-,8,,"5,793,463","4,854,668","3,583,221",5,5,93,"3,568,000","531,000",0,1x,0,0,"$22,102","$1,227.90","$1,213.67",22,90,"239,000",https://www.tiktok.com/@ashleyinfl
2,7359134909191159814,skylerclarkk,GO,4,45,@skylerclark_,Music,MARCO,"4,983",Y,1.00,20,113%,22,2,70,90,20,"3,420,840","4,241,842",8,"8,000,000","4,579,160",Down,9,,"4,495,252","6,229,461","7,911,737",5,5,93,"1,446,550","1,240,400","226,150",1x,"226,150",1,"$15,394",$0.00,"$1,557.37",22,90,"126,000",https://www.tiktok.com/@skylerclarkk
3,7359137668212490245,sebbythecatdad,GO,5,32,@sebbythecatdad,,CARRINGTON,376,Y,1.00,25,141%,,,134,,,"3,325,402","4,123,498",8,"1,600,000","-1,725,402",Up,6,,"3,493,186","1,245,854","1,317,345",5,5,89,"397,000","399,000","-2,000",1x,0,0,"$14,964",$831.35,$311.46,22,90,"69,000",https://www.tiktok.com/@sebbythecatdad
4,7359135097779519493,bryton.39,GO,4,42,@bryton.39,Gaming,MARCO,532,Y,1.00,21,118%,22,1,132,90,-42,"3,023,690","3,749,376",8,"3,000,000","-23,690",Up,7,,"3,408,509","2,811,270","4,521,401",5,5,92,"7,448,250","7,468,250","-20,000",1x,0,2,"$13,607",$755.92,$0.00,22,90,"1,000",https://www.tiktok.com/@bryton.39
5,7368626525710794769,daisy_dew4,GO,5,28,@brittneya54_73081,,CARRINGTON,808,Y,1.00,23,130%,,,150,,,"2,695,138","3,341,971",7,"3,000,000","304,862",-,7,RU,"3,296,972","2,595,071","1,528,466",5,5,88,"248,000","223,000","25,000",1x,"25,000",0,"$12,128",$673.78,$648.77,22,90,"78,000",https://www.tiktok.com/@daisy_dew4
6,7359135105165656069,freekbass,GO,4,42,@freekbass,Music,CARRINGTON,"2,525",Y,1.00,20,113%,22,2,76,90,14,"2,611,499","3,238,259",7,"3,000,000","388,501",-,7,,"3,140,947","2,642,673","5,376,023",5,5,85,"2,101,700","2,104,200","-2,500",1x,0,0,"$11,752",$652.87,$0.00,22,90,"36,000",https://www.tiktok.com/@freekbass
7,7359134960558571525,smity194,GO,4,44,@smity194,,CARRINGTON,380,Y,1.00,24,135%,22,-2,77,90,13,"1,820,418","2,257,318",7,"3,000,000","1,179,582",-,7,,"2,300,254","1,767,492","2,645,571",5,5,80,"3,181,050","3,157,600","23,450",1x,"23,450",0,"$8,192",$455.10,$441.87,22,90,"22,000",https://www.tiktok.com/@smity194
8,7359139290301038597,stephymaddy,GO,5,6,@_stephymaddy_,Music,CARRINGTON + SKYLER,558,Y,1.00,22,124%,,,132,,,"1,662,916","2,062,016",7,"1,000,000","-662,916",Up,5,,"1,750,496","600,023","601,954",5,5,77,"40,000","40,000",0,1x,0,0,"$7,483",$415.73,$0.00,22,90,"18,000",https://www.tiktok.com/@stephymaddy
9,7359135727810052101,hotterjakepaul,GO,5,38,@hotterjakepaul,,CARRINGTON,399,Y,1.00,23,130%,,,94,,,"1,643,409","2,037,827",7,"3,000,000","1,356,591",-,7,,"1,817,351","1,883,595","2,525,851",4,4,78,"981,100","981,100",0,1x,0,0,"$7,395",$410.85,$470.90,22,90,0,https://www.tiktok.com/@hotterjakepaul
11,7497777597393190929,stefanielauryn415,GO,4,17,@stefanielauryn415,,CARRINGTON,327,Y,1.00,23,130%,22,-1,73,90,17,"1,617,060","2,005,154",7,"3,000,000","1,382,940",-,7,,"1,968,247","2,412,709","2,541,238",4,5,78,"197,800","156,000","41,800",1x,"41,800",0,"$7,277",$404.27,$603.18,22,90,0,https://www.tiktok.com/@stefanielauryn415
