,Host,3/5,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,💎,💎 Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,💎 Last 30,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Days Month,Hours Month,Link
1,7359135084659736581,samanthasingsit,GO,,37,@samanthasingsit,Music,CARRINGTON,185,Y,1.00,4,113%,7,3,17,15,-2,"1,064,591","6,600,464",6,"3,000,000","1,935,409",Down,7,,"1,872,927","1,653,571","1,270,834",6,3,81,"1,586,275","85,200","-43,625",2x,0,22,80,https://www.tiktok.com/@samanthasingsit
2,7359135097779519493,bryton.39,GO,,37,@bryton.39,Gaming,MARCO,59,Y,1.00,5,141%,7,2,27,15,-12,"671,274","4,161,899",5,"5,000,000","4,328,726",Down,8,,"5,105,288","3,264,869","4,620,580",6,6,90,"6,834,850","443,000","187,000",2x,"187,000",22,80,https://www.tiktok.com/@bryton.39
3,7359135105165656069,freekbass,GO,,37,@freekbass,Music,CARRINGTON,642,Y,1.00,4,113%,7,3,17,15,-2,"651,869","4,041,588",5,"3,000,000","2,348,131",Down,7,,"367,312","2,927,760","4,925,433",4,6,86,"2,035,700","13,000","29,500",2x,"29,500",22,80,https://www.tiktok.com/@freekbass
4,7359135264167428102,coloreomusic,GO,,35,@coloreo,"Music, Gaming",CARRINGTON,57,Y,1.00,5,141%,7,2,25,15,-10,"617,110","3,826,082",5,"1,600,000","982,890",Down,6,,"34,740","1,521,625","1,376,333",6,6,87,"605,450","78,850","7,200",2x,"7,200",22,80,https://www.tiktok.com/@coloreomusic
5,7359134585688522757,singleonthemove,GO,,46,@singleonthemove,,CARRINGTON,59,Y,1.00,4,113%,7,3,16,15,-1,"602,088","3,732,946",5,"8,000,000","7,397,912",Down,9,,"2,734,569","5,226,194","5,828,132",4,4,88,"3,037,100","567,000",100,2x,100,22,80,https://www.tiktok.com/@singleonthemove
6,7527933905626988561,shanellenikolee,GO,,9,@shanellenikole,,CARRINGTON,182,Y,1.00,5,141%,7,2,23,15,-8,"440,463","2,730,871",4,"3,000,000","2,559,537",Down,7,,"35,430","1,900,960","2,331,637",6,6,87,"132,000","73,000","2,000",2x,"2,000",22,80,https://www.tiktok.com/@shanellenikolee
7,7359134572702957574,jayden_egg,GO,,47,@smileegg.,Gaming,CARRINGTON,25,Y,1.00,4,113%,7,3,19,15,-4,"438,680","2,719,816",4,"3,000,000","2,561,320",Down,7,,"1,723,427","2,330,821","2,191,553",6,4,84,"296,000","161,000","38,000",2x,"38,000",22,80,https://www.tiktok.com/@jayden_egg
8,7368626525710794769,daisy_dew4,GO,,23,@brittneya54_73081,,CARRINGTON,524,Y,1.00,5,141%,7,2,39,15,-24,"428,965","2,659,583",4,"500,000","71,035",Down,4,,"113,690","389,163","301,118",0,0,39,"164,000","2,000","105,000",1x,"105,000",8,20,https://www.tiktok.com/@daisy_dew4
9,7359135727810052101,hotterjakepaul,GO,,33,@hotterjakepaul,,CARRINGTON,45,Y,1.00,4,113%,7,3,14,15,1,"380,732","2,360,538",4,"1,000,000","619,268",Down,5,,"2,266,822","798,841","856,560",4,3,66,"929,800","43,000",0,1x,0,22,80,https://www.tiktok.com/@hotterjakepaul
10,7359134909191159814,skylerclarkk,GO,,40,@skylerclark_,Music,CARRINGTON,"1,229",Y,1.00,4,113%,7,3,13,15,2,"348,922","2,163,316",4,"3,000,000","2,651,078",Down,7,,"2,530,076","2,530,421","2,765,414",4,3,79,"217,150","89,000","6,150",2x,"6,150",22,80,https://www.tiktok.com/@skylerclarkk
