CID,TikTok,Type,Date,Plus,Minus
7359134909191159814,skylerclarkk,Music Cypher,3/20/2026,"16,000",-6000
7359134960558571525,smity194,Royal Rumble,3/18/2026,"23,000",-8000
7359134572702957574,jayden_egg,Royal Rumble,3/18/2026,"9,000",-4000
7368626525710794769,daisy_dew4,Royal Rumble,3/18/2026,"6,000",-6000
7460375701229912080,azyatk,Royal Rumble,3/18/2026,"2,000",-2000
7368626525710794769,daisy_dew4,Gifted,3/18/2026,,-45000
7576723590549389326,gaywhonotme,Rank Boost,3/18/2026,"35,000",-35000
7576723590549389326,gaywhonotme,Gifted,3/17/2026,,-5000
7359134909191159814,skylerclarkk,Sunday Knockout,3/16/2026,"3,000",-3000
7359134960558571525,smity194,Sunday Knockout,3/16/2026,"16,000",-6000
7595776572192243726,muthafknsid,Sunday Knockout,3/16/2026,"1,000",-1000
7359136208586637317,thebellaflora__,Rank Boost,3/16/2026,"35,000",-35000
7359135097779519493,bryton.39,Rank Boost,3/15/2026,11,
7513787055730638849,cwdetroit,Rank Boost,3/15/2026,,
7558760842850746382,sarahegant,Gifted,3/14/2026,,-5000
7359136363951816710,rockylanemusic,Music Cypher,3/13/2026,"12,000",-12000
7359135264167428102,coloreomusic,Music Cypher,3/13/2026,"2,000",-2000
7359134456151867397,luke.h.reynoldsmusic,Music Cypher,3/13/2026,"11,000",-6000
7359134813120659461,jeremiahboutross,Gifted,3/12/2026,,-5000
7359134572702957574,jayden_egg,Royal Rumble,3/11/2026,"14,000",-14000
7359134960558571525,smity194,Royal Rumble,3/11/2026,"15,000",
7513787055730638849,cwdetroit,Gifted,3/11/2026,,-5000
7527933905626988561,shanellenikolee,Rank Boost,3/10/2026,,
7433607263870517264,alexaraeemusic,Rank Boost,3/10/2026,,
7359135097779519493,bryton.39,Sunday Knockout,3/9/2026,"5,000",-5000
7359134960558571525,smity194,Sunday Knockout,3/9/2026,"5,000",
7460375701229912080,azyatk,Gifted,3/8/2026,,-10000
7359136363951816710,rockylanemusic,Music Cypher,3/6/2026,"2,000",-2000
7359135084659736581,samanthasingsit,Music Cypher,3/6/2026,"25,000",-10000
7433607263870517264,alexaraeemusic,Music Cypher,3/6/2026,"4,000",-4000
7359136672245809158,natalianope,Music Cypher,3/6/2026,"2,000",-2000
7359135097779519493,bryton.39,Rank Boost,3/6/2026,,
7359135283092226053,oregonstargirl,Rank Boost,3/6/2026,,
7359134585688522757,singleonthemove,Royal Rumble,3/5/2026,"2,000",-2000
7359134572702957574,jayden_egg,Royal Rumble,3/5/2026,"31,000",-16000
7368626525710794769,daisy_dew4,Royal Rumble,3/5/2026,"2,000",-2000
7359134585688522757,singleonthemove,Gifted,3/5/2026,,-30000
7359135097779519493,bryton.39,Sunday Knockout,3/2/2026,"21,000",-1000
7359134960558571525,smity194,Sunday Knockout,3/2/2026,"5,000",-5000
7387268256991657985,titancosplays,Sunday Knockout,3/2/2026,"1,000",-1000
7595776572192243726,muthafknsid,Sunday Knockout,3/2/2026,"2,000",-2000
7359134585688522757,singleonthemove,Monthly Award,3/2/2026,"30,000",
7359135105165656069,freekbass,Monthly Award,3/2/2026,"15,000",
7359134572702957574,jayden_egg,Monthly Award,3/2/2026,"7,500",
7359135084659736581,samanthasingsit,Monthly Award,3/2/2026,"20,000",
7359134960558571525,smity194,Monthly Award,3/2/2026,"10,000",
7576723590549389326,gaywhonotme,Monthly Award,3/2/2026,"5,000",
7359136208586637317,thebellaflora__,Monthly Award,3/2/2026,"15,000",
7359135814745391109,tha_dripp_phamily,Monthly Award,3/2/2026,"7,000",
7391438796933546001,mirsowavy,Monthly Award,3/2/2026,"5,000",
7460375701229912080,azyatk,Monthly Award,3/2/2026,"10,000",
7359138475368513541,scarlettjlopez,Monthly Award,3/2/2026,"6,000",
7359135268521246726,thetrapviolinist,Monthly Award,3/2/2026,"4,000",
7359134875733000198,maiazakay,Monthly Award,3/2/2026,"5,000",
7605650147527213069,mauricethemusic,Monthly Award,3/2/2026,"3,000",
7517471096153718800,imamberleybriana,Monthly Award,3/2/2026,"2,000",
7359134909191159814,skylerclarkk,Monthly Award,3/2/2026,"5,000",
7555294248464039991,follow_the_breeze,Monthly Award,3/2/2026,"4,000",
7581605738645078071,jordan.borges,Monthly Award,3/2/2026,"3,000",
7433657413758304273,a.marie.911,Monthly Award,3/2/2026,"2,000",
7359135813340266502,itsjimmay,Monthly Award,3/2/2026,"1,000",
7359134909191159814,skylerclarkk,Gifted,3/1/2026,,-15000
7359134572702957574,jayden_egg,Gifted,2/28/2026,,-37000
7359135097779519493,bryton.39,Bonus,2/27/2026,"70,000",-70000
7359135264167428102,coloreomusic,Bonus,2/27/2026,"35,000",-35000
7359135408745447429,b.herbz,Gifted,2/26/2026,,-10000
7387268256991657985,titancosplays,Rookie Reward,2/26/2026,"22,000",
7359134585688522757,singleonthemove,Bonus,2/25/2026,"130,000",-130000
7359136272692117509,koryskitchen,Gifted,2/25/2026,,-45000
7359135407352610822,burnt.tatertot,Gaming Showdown,2/25/2026,"15,000",
7481449047811964929,thecluelessbunny,Gaming Showdown,2/25/2026,"5,000",
7359135097779519493,bryton.39,Royal Rumble,2/25/2026,"24,000",-4000
7359134960558571525,smity194,Royal Rumble,2/25/2026,"1,000",-1000
7581605738645078071,jordan.borges,Royal Rumble,2/25/2026,"4,000",-4000
7595776572192243726,muthafknsid,Royal Rumble,2/25/2026,"3,000",-3000
7576723590549389326,gaywhonotme,Gifted,2/24/2026,,-18000
7359135097779519493,bryton.39,Sunday Knockout,2/23/2026,"2,000",-2000
7359134585688522757,singleonthemove,Sunday Knockout,2/23/2026,"30,000",-30000
7527933905626988561,shanellenikolee,Sunday Knockout,2/23/2026,"1,000",-1000
7359137631822708741,sam_g_89,Sunday Knockout,2/23/2026,"2,000",-2000
7359134574070398981,sierralandmagic,Sunday Knockout,2/23/2026,"3,000",-3000
7359134960558571525,smity194,Sunday Knockout,2/23/2026,"38,000",-28000
7359135727810052101,hotterjakepaul,Sunday Knockout,2/23/2026,"3,000",-3000
