,Host,8/12,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,?,? Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,,? Last 30,-1 Month ?,-2 Month ?,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,,Est Rev,Days Month,Hours Month,Rewards Month,Link
1,7401047742329470977,stiansings,GO,0,,@_jebsen,,Eliza,66,Y,1.00,7,82%,8,1,28,20,-8,"268,587","693,850",3,"1,000,000","731,413",Down,5,,"690,627","692,950","2,333,667",3,5,67,"1,072,000","51,000","109,002",1x,"109,002",,?906.48,18,60,"7,000",https://www.tiktok.com/@stiansings
2,7457160386807332881,lex_therapy,GO,1,,@lex016861,,Eliza,327,Y,1.00,10,117%,11,1,24,30,6,"142,464","368,032",2,"500,000","357,536",Down,4,,"333,246","317,973","334,715",3,4,51,"155,500","13,500",0,1x,0,,?480.82,18,60,"3,500",https://www.tiktok.com/@lex_therapy
9,7559193040137486337,glitterzbyashleigh,GO,-1,,@allthatglitterzbyashleigh,,Eliza,190,Y,1.00,4,47%,7,3,10,15,5,"5,819","15,032",1,"300,000","294,181",Down,3,,"207,223","217,939","50,681",3,2,25,"6,000","5,000","1,000",-,0,,?19.64,18,60,"2,000",https://www.tiktok.com/@glitterzbyashleigh
4,7574151038060593169,lucamusicuk,GO,-1,,,,Ruta,145,Y,1.00,6,70%,7,1,12,15,3,"31,974","82,600",1,"100,000","68,026",Down,1,,"66,028","34,054","97,040",0,1,6,"16,500",0,"16,500",-,0,,?107.91,8,20,0,https://www.tiktok.com/@lucamusicuk
113,7404012779482464257,ironladyontt,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,"31,463","4,924",1,-1,1,"19,500",0,"14,900",-,0,,?0.00,11,30,0,https://www.tiktok.com/@ironladyontt
3,7663660589306298388,kingdom.of.horror,GO,1,2,@creepychainsaw,,,479,Y,1.00,9,106%,11,2,27,30,3,"45,517","117,586",1,"100,000","54,483",-,1,,"65,137","19,620",,5,,20,500,0,500,-,0,,?153.62,22,80,500,https://www.tiktok.com/@kingdom.of.horror
5,7386764939572297729,elizzamusic,GO,-1,,@elizataboost,,Eliza,215,Y,1.00,6,70%,7,1,8,15,7,"7,712","19,923",1,"100,000","92,288",Down,1,,"19,328","13,816",-2,-1,,-3,"35,500",0,"10,200",-,0,,?26.03,8,20,0,https://www.tiktok.com/@elizzamusic
12,7401799282707415041,evolutionguidance,GO,1,,@liamcourtnae,,Eliza,37,Y,1.00,10,117%,11,1,26,30,4,"3,381","8,734",1,"100,000","96,619",-,1,,"7,777","12,333","42,870",3,1,16,"222,500",0,"2,000",-,0,,?11.41,18,60,0,https://www.tiktok.com/@evolutionguidance
114,7663462206264066065,ur_fav_abbiee,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,"10,964","10,964",,2,,3,0,0,0,-,0,,?0.00,15,40,0,https://www.tiktok.com/@ur_fav_abbiee
115,7359135227828011013,courtneycyrus123,GO,-1,,@courtneycyrus.,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,"10,183",0,-1,-1,-3,"103,000",0,"73,000",-,0,,?0.00,8,20,0,https://www.tiktok.com/@courtneycyrus123
14,7500922616144871440,marcusjosephsax,GO,-1,,,,LA,238,Y,1.00,3,35%,7,4,8,15,7,"2,994","7,735",1,"100,000","97,006",Down,1,,"3,599","9,538","9,640",1,2,6,0,0,0,-,0,,?10.10,11,30,0,https://www.tiktok.com/@marcusjosephsax
21,7466782956556730369,rhysymusic,GO,-1,2,@rhyshmusic,,,25,Y,1.00,0,0%,7,7,0,15,15,"1,270","3,281",1,"100,000","98,730",Down,1,,"9,356","8,539",,-1,,-2,0,0,0,-,0,,?4.29,8,20,0,https://www.tiktok.com/@rhysymusic
